mesto,datum,Povprečna temperatura (v °C)
Berlin,2025-02-26,5.8
Berlin,2025-02-27,6.0
Berlin,2025-02-28,3.4
Berlin,2025-03-01,3.3
Berlin,2025-03-02,3.5
Berlin,2025-03-03,5.4
Berlin,2025-03-04,4.7
Berlin,2025-03-05,6.7
Berlin,2025-03-06,7.6
Berlin,2025-03-07,8.4
Berlin,2025-03-08,8.6
Berlin,2025-03-09,8.3
Berlin,2025-03-10,7.5
Berlin,2025-03-11,4.8
Berlin,2025-03-12,5.2
Berlin,2025-03-13,4.3
Berlin,2025-03-14,4.3
Berlin,2025-03-15,3.9
Berlin,2025-03-16,3.3
Berlin,2025-03-17,2.4
Berlin,2025-03-18,1.6
Berlin,2025-03-19,3.6
Berlin,2025-03-20,6.5
Berlin,2025-03-21,8.7
Berlin,2025-03-22,8.5
Berlin,2025-03-23,9.5
Berlin,2025-03-24,10.1
Berlin,2025-03-25,8.7
Berlin,2025-03-26,7.8
Berlin,2025-03-27,6.3
Berlin,2025-03-28,7.6
Berlin,2025-03-29,8.8
Berlin,2025-03-30,5.7
Berlin,2025-03-31,7.2
Berlin,2025-04-01,7.9
Berlin,2025-04-02,8.4
Berlin,2025-04-03,10.3
Berlin,2025-04-04,12.5
Berlin,2025-04-05,6.7
Berlin,2025-04-06,3.6
Berlin,2025-04-07,7.2
Berlin,2025-04-08,8.2
Berlin,2025-04-09,9.4
Berlin,2025-04-10,8.8
Berlin,2025-04-11,9.8
Berlin,2025-04-12,12.6
Berlin,2025-04-13,15.1
Berlin,2025-04-14,15.8
Berlin,2025-04-15,16.6
Berlin,2025-04-16,18.7
Berlin,2025-04-17,20.2
Berlin,2025-04-18,12.8
Berlin,2025-04-19,9.2
Berlin,2025-04-20,12.4
Berlin,2025-04-21,14.4
Berlin,2025-04-22,13.5
Berlin,2025-04-23,12.9
Berlin,2025-04-24,12.9
Berlin,2025-04-25,11.2
Berlin,2025-04-26,10.2
Berlin,2025-04-27,11.1
Berlin,2025-04-28,14.1
Berlin,2025-04-29,16.0
Berlin,2025-04-30,16.8
Berlin,2025-05-01,18.6
Berlin,2025-05-02,20.5
Berlin,2025-05-03,15.0
Berlin,2025-05-04,11.4
Berlin,2025-05-05,9.0
Berlin,2025-05-06,9.4
Berlin,2025-05-07,11.3
Berlin,2025-05-08,11.5
Berlin,2025-05-09,13.3
Berlin,2025-05-10,14.4
Berlin,2025-05-11,12.4
Berlin,2025-05-12,12.5
Berlin,2025-05-13,14.5
Berlin,2025-05-14,16.7
Berlin,2025-05-15,12.0
Berlin,2025-05-16,12.0
Berlin,2025-05-17,11.1
Berlin,2025-05-18,10.4
Berlin,2025-05-19,12.5
Berlin,2025-05-20,16.2
Berlin,2025-05-21,17.0
Berlin,2025-05-22,11.9
Berlin,2025-05-23,9.1
Berlin,2025-05-24,11.9
Berlin,2025-05-25,14.1
Berlin,2025-05-26,15.4
Berlin,2025-05-27,15.8
Berlin,2025-05-28,16.2
Berlin,2025-05-29,14.3
Berlin,2025-05-30,18.3
Berlin,2025-05-31,19.7
Berlin,2025-06-01,20.6
Berlin,2025-06-02,18.3
Berlin,2025-06-03,19.1
Berlin,2025-06-04,20.7
Berlin,2025-06-05,19.3
Berlin,2025-06-06,18.4
Berlin,2025-06-07,17.7
Berlin,2025-06-08,15.7
Berlin,2025-06-09,13.8
Berlin,2025-06-10,14.7
Berlin,2025-06-11,15.8
Berlin,2025-06-12,16.6
Berlin,2025-06-13,18.7
Berlin,2025-06-14,23.0
Berlin,2025-06-15,24.0
Berlin,2025-06-16,18.9
Berlin,2025-06-17,20.2
Berlin,2025-06-18,22.3
Berlin,2025-06-19,19.2
Berlin,2025-06-20,18.1
Berlin,2025-06-21,21.9
Berlin,2025-06-22,27.1
Berlin,2025-06-23,23.0
Berlin,2025-06-24,17.9
Berlin,2025-06-25,20.3
Berlin,2025-06-26,21.4
Berlin,2025-06-27,18.9
Berlin,2025-06-28,21.3
Berlin,2025-06-29,23.6
Berlin,2025-06-30,20.5
Berlin,2025-07-01,24.4
Berlin,2025-07-02,29.7
Berlin,2025-07-03,23.4
Berlin,2025-07-04,19.6
Berlin,2025-07-05,22.5
Berlin,2025-07-06,23.6
Berlin,2025-07-07,20.3
Berlin,2025-07-08,17.8
Berlin,2025-07-09,17.4
Berlin,2025-07-10,17.8
Berlin,2025-07-11,17.1
Berlin,2025-07-12,15.7
Berlin,2025-07-13,17.9
Berlin,2025-07-14,19.6
Berlin,2025-07-15,18.9
Berlin,2025-07-16,17.3
Berlin,2025-07-17,16.7
Berlin,2025-07-18,19.4
Berlin,2025-07-19,21.4
Berlin,2025-07-20,23.4
Berlin,2025-07-21,20.0
Berlin,2025-07-22,18.0
Berlin,2025-07-23,17.6
Berlin,2025-07-24,19.5
Berlin,2025-07-25,19.9
Berlin,2025-07-26,18.8
Berlin,2025-07-27,19.7
Berlin,2025-07-28,18.3
Berlin,2025-07-29,17.1
Berlin,2025-07-30,17.2
Berlin,2025-07-31,16.5
Berlin,2025-08-01,17.2
Berlin,2025-08-02,17.4
Berlin,2025-08-03,16.3
Berlin,2025-08-04,17.6
Berlin,2025-08-05,17.9
Berlin,2025-08-06,16.2
Berlin,2025-08-07,18.4
Berlin,2025-08-08,20.7
Berlin,2025-08-09,21.8
Berlin,2025-08-10,19.9
Berlin,2025-08-11,19.2
Berlin,2025-08-12,21.8
Berlin,2025-08-13,23.8
Berlin,2025-08-14,25.5
Berlin,2025-08-15,26.4
Berlin,2025-08-16,20.8
Berlin,2025-08-17,17.9
Berlin,2025-08-18,18.4
Berlin,2025-08-19,20.8
Berlin,2025-08-20,19.5
Berlin,2025-08-21,17.7
Berlin,2025-08-22,15.6
Berlin,2025-08-23,14.2
Berlin,2025-08-24,13.8
Berlin,2025-08-25,14.6
Berlin,2025-08-26,15.5
Berlin,2025-08-27,20.2
Berlin,2025-08-28,19.6
Berlin,2025-08-29,18.5
Berlin,2025-08-30,18.4
Berlin,2025-08-31,19.0
Berlin,2025-09-01,20.3
Berlin,2025-09-02,17.4
Berlin,2025-09-03,
