mesto,datum,Povprečna temperatura (v °C)
Ljubljana,2024-09-03,22.3
Ljubljana,2024-09-04,22.3
Ljubljana,2024-09-05,20.6
Ljubljana,2024-09-06,19.5
Ljubljana,2024-09-07,20.3
Ljubljana,2024-09-08,21.6
Ljubljana,2024-09-09,18.8
Ljubljana,2024-09-10,17.5
Ljubljana,2024-09-11,17.6
Ljubljana,2024-09-12,13.5
Ljubljana,2024-09-13,9.7
Ljubljana,2024-09-14,11.1
Ljubljana,2024-09-15,12.8
Ljubljana,2024-09-16,12.1
Ljubljana,2024-09-17,11.9
Ljubljana,2024-09-18,13.4
Ljubljana,2024-09-19,15.8
Ljubljana,2024-09-20,15.5
Ljubljana,2024-09-21,16.0
Ljubljana,2024-09-22,15.1
Ljubljana,2024-09-23,15.4
Ljubljana,2024-09-24,16.1
Ljubljana,2024-09-25,15.8
Ljubljana,2024-09-26,17.9
Ljubljana,2024-09-27,19.7
Ljubljana,2024-09-28,14.6
Ljubljana,2024-09-29,11.6
Ljubljana,2024-09-30,10.2
Ljubljana,2024-10-01,11.6
Ljubljana,2024-10-02,13.8
Ljubljana,2024-10-03,11.2
Ljubljana,2024-10-04,9.0
Ljubljana,2024-10-05,10.5
Ljubljana,2024-10-06,10.6
Ljubljana,2024-10-07,11.9
Ljubljana,2024-10-08,16.2
Ljubljana,2024-10-09,17.2
Ljubljana,2024-10-10,16.9
Ljubljana,2024-10-11,13.5
Ljubljana,2024-10-12,11.1
Ljubljana,2024-10-13,12.7
Ljubljana,2024-10-14,11.6
Ljubljana,2024-10-15,13.9
Ljubljana,2024-10-16,13.0
Ljubljana,2024-10-17,12.2
Ljubljana,2024-10-18,12.5
Ljubljana,2024-10-19,12.7
Ljubljana,2024-10-20,11.7
Ljubljana,2024-10-21,10.8
Ljubljana,2024-10-22,12.8
Ljubljana,2024-10-23,12.9
Ljubljana,2024-10-24,13.0
Ljubljana,2024-10-25,13.2
Ljubljana,2024-10-26,14.4
Ljubljana,2024-10-27,14.7
Ljubljana,2024-10-28,13.1
Ljubljana,2024-10-29,13.3
Ljubljana,2024-10-30,11.9
Ljubljana,2024-10-31,11.6
Ljubljana,2024-11-01,10.4
Ljubljana,2024-11-02,9.0
Ljubljana,2024-11-03,8.9
Ljubljana,2024-11-04,5.5
Ljubljana,2024-11-05,6.3
Ljubljana,2024-11-06,5.3
Ljubljana,2024-11-07,4.9
Ljubljana,2024-11-08,4.5
Ljubljana,2024-11-09,4.0
Ljubljana,2024-11-10,3.2
Ljubljana,2024-11-11,2.9
Ljubljana,2024-11-12,1.8
Ljubljana,2024-11-13,2.3
Ljubljana,2024-11-14,2.2
Ljubljana,2024-11-15,-0.0
Ljubljana,2024-11-16,1.4
Ljubljana,2024-11-17,2.1
Ljubljana,2024-11-18,2.4
Ljubljana,2024-11-19,4.5
Ljubljana,2024-11-20,6.4
Ljubljana,2024-11-21,2.1
Ljubljana,2024-11-22,0.1
Ljubljana,2024-11-23,-0.6
Ljubljana,2024-11-24,1.7
Ljubljana,2024-11-25,4.4
Ljubljana,2024-11-26,8.1
Ljubljana,2024-11-27,7.1
Ljubljana,2024-11-28,8.2
Ljubljana,2024-11-29,4.8
Ljubljana,2024-11-30,3.1
Ljubljana,2024-12-01,2.1
Ljubljana,2024-12-02,1.1
Ljubljana,2024-12-03,0.5
Ljubljana,2024-12-04,2.3
Ljubljana,2024-12-05,1.8
Ljubljana,2024-12-06,-0.5
Ljubljana,2024-12-07,-0.6
Ljubljana,2024-12-08,0.9
Ljubljana,2024-12-09,1.7
Ljubljana,2024-12-10,2.4
Ljubljana,2024-12-11,2.5
Ljubljana,2024-12-12,1.5
Ljubljana,2024-12-13,-0.4
Ljubljana,2024-12-14,0.3
Ljubljana,2024-12-15,-0.2
Ljubljana,2024-12-16,1.0
Ljubljana,2024-12-17,1.3
Ljubljana,2024-12-18,2.0
Ljubljana,2024-12-19,3.0
Ljubljana,2024-12-20,2.9
Ljubljana,2024-12-21,-0.6
Ljubljana,2024-12-22,-0.3
Ljubljana,2024-12-23,0.6
Ljubljana,2024-12-24,-0.2
Ljubljana,2024-12-25,-0.7
Ljubljana,2024-12-26,-1.9
Ljubljana,2024-12-27,-2.1
Ljubljana,2024-12-28,-0.9
Ljubljana,2024-12-29,0.4
Ljubljana,2024-12-30,-0.3
Ljubljana,2024-12-31,-0.9
Ljubljana,2025-01-01,1.5
Ljubljana,2025-01-02,2.9
Ljubljana,2025-01-03,1.8
Ljubljana,2025-01-04,-1.7
Ljubljana,2025-01-05,0.7
Ljubljana,2025-01-06,4.7
Ljubljana,2025-01-07,6.0
Ljubljana,2025-01-08,5.5
Ljubljana,2025-01-09,7.1
Ljubljana,2025-01-10,2.2
Ljubljana,2025-01-11,-1.4
Ljubljana,2025-01-12,-2.5
Ljubljana,2025-01-13,-1.6
Ljubljana,2025-01-14,-1.4
Ljubljana,2025-01-15,-2.0
Ljubljana,2025-01-16,0.4
Ljubljana,2025-01-17,-0.2
Ljubljana,2025-01-18,-2.3
Ljubljana,2025-01-19,-2.2
Ljubljana,2025-01-20,-0.9
Ljubljana,2025-01-21,0.2
Ljubljana,2025-01-22,2.2
Ljubljana,2025-01-23,3.1
Ljubljana,2025-01-24,3.9
Ljubljana,2025-01-25,5.9
Ljubljana,2025-01-26,8.4
Ljubljana,2025-01-27,8.8
Ljubljana,2025-01-28,8.8
Ljubljana,2025-01-29,6.3
Ljubljana,2025-01-30,3.2
Ljubljana,2025-01-31,3.5
Ljubljana,2025-02-01,3.6
Ljubljana,2025-02-02,1.6
Ljubljana,2025-02-03,2.1
Ljubljana,2025-02-04,-0.1
Ljubljana,2025-02-05,-0.2
Ljubljana,2025-02-06,0.7
Ljubljana,2025-02-07,1.5
Ljubljana,2025-02-08,1.1
Ljubljana,2025-02-09,3.3
Ljubljana,2025-02-10,4.4
Ljubljana,2025-02-11,3.4
Ljubljana,2025-02-12,3.1
Ljubljana,2025-02-13,5.7
Ljubljana,2025-02-14,2.2
Ljubljana,2025-02-15,-0.6
Ljubljana,2025-02-16,-1.6
Ljubljana,2025-02-17,-1.5
Ljubljana,2025-02-18,-2.0
Ljubljana,2025-02-19,-2.3
